date, pm25, pm10, no2, so2, co
2023/3/20, 82, 40, 5, 3, 10
2023/3/21, 87, 47, 6, 3, 11
2023/3/22, 88, 69, 7, 4, 22
2023/3/23, 123, 73, 6, 3, 19
2023/3/24, 123, 54, 6, 2, 22
2023/3/25, 88, 45, 5, 3, 19
2023/3/26, 78, 46, 5, 3, 25
2023/3/27, 82, 66, 4, 3, 11
2023/3/28, 102, 70, 5, 3, 9
2023/3/29, 111, 57, 4, 3, 15
2023/3/30, 100, 34, 5, 4, 13
2023/3/31, 61, , , , 
2022/10/1, 80, 45, 5, 3, 7
2022/10/2, 66, 47, 8, 3, 9
2022/10/3, 75, 46, 5, 3, 5
2022/10/4, 82, 46, 4, 3, 12
2022/10/5, 71, 47, 3, 3, 8
2022/10/6, 77, 49, 4, 3, 7
2022/10/7, 81, 48, 9, 3, 11
2022/10/8, 74, 50, 8, 3, 16
2022/10/9, 81, 47, 5, 4, 8
2022/10/10, 80, 46, 4, 4, 10
2022/10/11, 75, 48, 8, 4, 9
2022/10/12, 79, 47, 7, 3, 9
2022/10/13, 80, 48, 9, 2, 12
2022/10/14, 84, 42, 9, 2, 11
2022/10/15, 75, 46, 4, 3, 20
2022/10/16, 80, , , , 
2022/10/24, 132, 63, , 4, 18
2022/10/25, 133, 63, , 4, 20
2022/10/26, 132, 59, 2, 3, 7
2022/10/27, 115, 53, 7, 3, 8
2022/10/28, 78, 48, 4, 3, 9
2022/10/29, 71, 52, 7, 4, 10
2022/10/30, 79, 45, 8, 4, 7
2022/10/31, 78, 49, 5, 4, 16
2022/11/1, 72, 51, 12, 4, 8
2022/11/2, 78, 50, 13, 3, 17
2022/11/3, 77, 53, 6, 3, 14
2022/11/4, 82, 55, 4, 3, 11
2022/11/5, 84, 48, 4, 3, 12
2022/11/6, 80, 50, 4, 3, 8
2022/11/7, 82, 49, 6, 3, 6
2022/11/8, 78, 47, 6, 3, 12
2022/11/9, 77, 48, 5, 3, 6
2022/11/10, 82, 51, 4, 3, 10
2022/11/11, 81, 49, 7, 3, 9
2022/11/12, 75, 49, 10, 3, 7
2022/11/13, 73, 81, 10, 3, 11
2022/11/14, 74, 96, 7, 3, 11
2022/11/15, 82, 52, 13, 3, 8
2022/11/16, 82, 52, 11, 3, 6
2022/11/17, 78, 54, 8, 3, 9
2022/11/18, 72, 77, 8, 5, 11
2022/11/19, 100, 56, 8, 4, 7
2022/11/20, 67, 61, 16, 4, 8
2022/11/21, 81, 56, 14, 4, 9
2022/11/22, 71, 59, 11, 5, 11
2022/11/23, 82, 65, 5, 4, 8
2022/11/24, 78, 66, 6, 3, 12
2022/11/25, 77, 65, 7, 4, 9
2022/11/26, 91, 84, 6, 5, 14
2022/11/27, 91, 77, 7, 5, 12
2022/11/28, 88, 71, 8, 5, 7
2022/11/29, 83, 62, 7, 5, 11
2022/11/30, 89, 77, 6, 6, 16
2022/12/1, 69, 79, 7, 5, 17
2022/12/2, 55, 70, 8, 4, 17
2022/12/3, 69, 81, 9, 4, 13
2022/12/4, 62, 95, 10, 4, 10
2022/12/5, 67, 66, 10, 4, 8
2022/12/6, 64, 62, 10, 4, 11
2022/12/7, 64, 49, 7, 4, 8
2022/12/8, 64, 53, 7, 4, 15
2022/12/9, 89, 70, 8, 4, 15
2022/12/10, 121, 81, 7, 4, 21
2022/12/11, 118, 69, 16, 4, 16
2022/12/12, 93, 60, 9, 4, 13
2022/12/13, 64, 61, 9, 4, 9
2022/12/14, 59, 61, 13, 4, 15
2022/12/15, 53, 62, 13, 4, 21
2022/12/16, 54, 42, 4, 4, 12
2022/12/17, 51, 39, 5, 4, 13
2022/12/18, 58, 74, 6, 4, 10
2022/12/19, 86, 71, 8, 3, 7
2022/12/20, 97, 65, 11, 3, 9
2022/12/21, 96, 62, 6, 3, 12
2022/12/22, 97, 88, 5, 4, 17
2022/12/23, 71, 66, 12, 4, 20
2022/12/24, 67, 67, 6, 3, 24
2022/12/25, 69, 50, 12, 3, 15
2022/12/26, 70, 46, 10, 4, 9
2022/12/27, 79, 36, 10, 3, 9
2022/12/28, 48, 60, 8, 4, 11
2022/12/29, 104, 60, 7, 3, 11
2022/12/30, 58, 68, 7, 3, 11
2022/12/31, 64, 64, 7, 2, 22
2023/1/1, 79, 66, 5, 3, 8
2022/7/1, 79, 51, 6, 5, 30
2022/7/2, 91, 42, 5, 4, 4
2022/7/3, 78, 50, 5, 2, 14
2022/7/4, 81, 46, 6, 2, 13
2022/7/5, 74, 52, 6, 2, 24
2022/7/6, 77, 56, 5, 2, 13
2022/7/7, 83, 55, 5, 3, 10
2022/7/8, 84, 54, 5, 3, 6
2022/7/9, 82, 53, 5, 2, 8
2022/7/10, 79, 52, 6, 2, 19
2022/7/11, 77, 56, 6, 2, 12
2022/7/12, 90, 51, 6, 2, 10
2022/7/13, 78, 56, 5, 2, 10
2022/7/14, 77, 53, 5, 2, 7
2022/7/15, 73, 52, 6, 3, 15
2022/7/16, 81, 52, 5, 3, 14
2022/7/17, 84, 52, 6, 3, 12
2022/7/18, 79, 52, 5, 2, 12
2022/7/19, 76, 51, 5, 3, 7
2022/7/20, 81, 52, 6, 2, 8
2022/7/21, 76, 54, 7, 2, 37
2022/7/22, 87, 52, 6, 3, 11
2022/7/23, 80, 52, 6, 2, 9
2022/7/24, 84, 48, 6, 2, 23
2022/7/25, 75, 50, 5, 2, 31
2022/7/26, 78, 52, 4, 3, 25
2022/7/27, 77, 47, 7, 3, 12
2022/7/28, 78, 50, 7, 3, 25
2022/7/29, 82, 54, 8, 3, 10
2022/7/30, 91, 53, 5, 2, 11
2022/7/31, 81, 52, 4, 2, 16
2022/8/1, 79, 50, 4, 4, 17
2022/8/2, 75, 46, 4, 3, 6
2022/8/3, 77, 38, 5, 3, 16
2022/8/4, 68, 53, 5, 2, 8
2022/8/5, 88, 53, 5, 3, 12
2022/8/6, 83, 59, 5, 2, 3
2022/8/7, 82, 46, 6, 2, 6
2022/8/8, 81, 53, 5, 2, 12
2022/8/9, 83, 52, 6, 3, 16
2022/8/10, 83, 51, 7, 3, 20
2022/8/11, 84, 49, 6, 3, 15
2022/8/12, 84, 48, 7, 4, 18
2022/8/13, 80, 49, 8, 3, 20
2022/8/14, 76, , , , 10
2022/8/16, 90, 46, 6, 3, 11
2022/8/17, 77, 52, 6, 2, 14
2022/8/18, 90, 53, 5, 3, 10
2022/8/19, 90, 48, 5, 2, 13
2022/8/20, 79, , , , 
2022/8/22, 80, 49, 6, 3, 13
2022/8/23, 82, 51, 10, 3, 12
2022/8/24, 83, 51, 9, 2, 7
2022/8/25, 87, 54, 4, 2, 10
2022/8/26, 94, 54, 4, 3, 9
2022/8/27, 96, 49, 2, 3, 13
2022/8/28, 84, 49, 2, 3, 8
2022/8/29, 81, 53, 2, 2, 8
2022/8/30, 87, 53, 2, 2, 13
2022/8/31, 85, 56, 2, 2, 7
2022/9/1, 86, 54, 5, 2, 3
2022/9/2, 85, 55, 6, 2, 9
2022/9/3, 91, 58, 6, 3, 32
2022/9/4, 91, 53, 7, 3, 3
2022/9/5, 81, 56, 9, 2, 10
2022/9/6, 83, 48, 4, 3, 8
2022/9/7, 79, 50, 4, 3, 9
2022/9/8, 82, 49, 5, 3, 9
2022/9/9, 83, 52, 4, 3, 14
2022/9/10, 78, 50, 2, 3, 16
2022/9/11, 77, 50, 1, 3, 6
2022/9/12, 79, 51, 3, 3, 9
2022/9/13, 80, 51, 7, 3, 14
2022/9/14, 84, 52, 11, 3, 11
2022/9/15, 84, 40, 4, 3, 11
2022/9/16, 75, 50, 4, 2, 16
2022/9/17, 82, 46, 4, 3, 7
2022/9/18, 82, 47, 6, 3, 10
2022/9/19, 76, 48, 3, 3, 7
2022/9/20, 88, 52, 3, 2, 9
2022/9/21, 86, 50, 3, 2, 14
2022/9/22, 81, 47, 2, 3, 16
2022/9/23, 81, 47, 1, 3, 12
2022/9/24, 88, 48, 1, 3, 16
2022/9/25, 81, 51, 2, 3, 14
2022/9/26, 78, 50, 6, 3, 10
2022/9/27, 79, 48, 6, 3, 8
2022/9/28, 84, 52, 5, 3, 4
2022/9/29, 85, 47, 4, 3, 11
2022/9/30, 83, 49, 4, 3, 7
2022/4/1, 75, 53, 6, 2, 12
2022/4/2, 80, 56, 6, 4, 6
2022/4/3, 85, 49, 5, 3, 9
2022/4/4, 79, 49, 5, 3, 10
2022/4/5, 75, 44, 5, 3, 39
2022/4/6, 77, 47, 5, 2, 13
2022/4/7, 78, 50, 5, 3, 11
2022/4/8, 75, 50, 5, 3, 12
2022/4/9, 77, 50, 5, 3, 12
2022/4/10, 77, 48, 5, 3, 9
2022/4/11, 74, 46, 6, 3, 13
2022/4/12, 75, 50, 6, 3, 7
2022/4/13, 74, 45, 5, 3, 13
2022/4/14, 68, 46, 5, 3, 14
2022/4/15, 76, 46, 6, 4, 15
2022/4/16, 76, 47, 5, 4, 5
2022/4/17, 68, 49, 5, 3, 7
2022/4/18, 74, 51, 6, 3, 13
2022/4/19, 78, 52, 5, 3, 10
2022/4/20, 82, 51, 5, 2, 7
2022/4/21, 81, 49, 4, 2, 6
2022/4/22, 78, 49, 4, 2, 14
2022/4/23, 76, 51, 4, 3, 12
2022/4/24, 77, 47, 5, 3, 13
2022/4/25, 76, 47, 5, 4, 6
2022/4/26, 76, 50, 5, 3, 10
2022/4/27, 77, 53, 5, 4, 10
2022/4/28, 77, 53, 5, 3, 9
2022/4/29, 80, 50, 4, 3, 6
2022/4/30, 77, 50, 6, 4, 8
2022/5/1, 76, , 6, 3, 7
2022/5/2, 78, , 5, 3, 7
2022/5/3, 77, 32, 5, 3, 8
2022/5/4, 73, 39, 5, 3, 10
2022/5/5, 74, 49, 5, 3, 10
2022/5/6, 76, 47, 5, 3, 8
2022/5/7, 77, 52, 6, 3, 6
